Dataset,Norm,Noise,Depth,X,f(X),Residual Correlation,Prediction Correlation
Friedman 1,False,False,3,2.6660716649628515,0.5217916067820794,0.9697621557312784,0.9926967692805417
Friedman 1,False,False,25,0.3876549043791827,0.4183361696531862,0.9899190208349498,0.99355830474418
Friedman 1,False,False,100,0.23169127624710223,0.14560836007872255,0.9990988063584068,0.9991469356748143
Friedman 1,False,True,3,2.695646348423943,0.5261597742525131,0.9690815622181246,0.9927824195891141
Friedman 1,False,True,25,0.3877479361293925,0.4215236837839838,0.9896758908289426,0.9936287850903759
Friedman 1,False,True,100,0.23108528019459687,0.14898466739886393,0.9990526035387999,0.9991312108602018
Friedman 1,True,False,3,3.8208458571121944,0.09916284231557539,0.9993377272393509,0.9997545446312724
Friedman 1,True,False,25,0.24874034677977336,0.21532512022490058,0.9983853927666061,0.998858194201989
Friedman 1,True,False,100,0.12165506375595903,0.174374415638348,0.9992448400302558,0.9992030637290389
Friedman 1,True,True,3,1.8090762059031928,0.19573368420242704,0.9974546698611942,0.9992374613719583
Friedman 1,True,True,25,0.24936456443384664,0.21943548087382211,0.9983020464319572,0.998843891071836
Friedman 1,True,True,100,0.12155369324903978,0.17850365795504938,0.9992051423681131,0.9991893871294089
Friedman 2,False,False,3,39.00062510729581,201.31581763854027,0.6790507243264768,0.798212386396954
Friedman 2,False,False,25,38.70688774438021,199.7978553223793,0.6846811817057524,0.800314819372221
Friedman 2,False,False,100,36.818399230778844,195.28588675810784,0.6992883905989626,0.8052839896623781
Friedman 2,False,True,3,4692.040376211591,63.14961386016425,0.9753213677857048,0.959411607403937
Friedman 2,False,True,25,3480.877094892565,182.79252341134233,0.7538581492249934,0.791095251061738
Friedman 2,False,True,100,36.858024419558866,195.29378220369543,0.699278175197581,0.8052912010706137
Friedman 2,True,False,3,1.451533217602896,0.005698219017226749,0.9999999997858583,0.9999999998544438
Friedman 2,True,False,25,0.17695016432899846,0.8573115775174539,0.9999952491630043,0.9999967405752138
Friedman 2,True,False,100,0.07897322333682008,5.259825483643651,0.999822874545703,0.9998837949611759
Friedman 2,True,True,3,1.940812727303018,2.888620462656898,0.9999590526852946,0.9998605439003406
Friedman 2,True,True,25,0.27132013817314216,5.261392961545448,0.999862215997866,0.9997641321227352
Friedman 2,True,True,100,0.07522827653954225,10.445821831517717,0.9996480259004316,0.9990229167613311
Friedman 3,False,False,3,525132.0758541853,0.1322625279268673,0.8397302578872283,0.9126411179646108
Friedman 3,False,False,25,9999362988.107359,0.09040834217818419,0.9192648788198035,0.956378194462715
Friedman 3,False,False,100,4488397841.162866,0.09175076068262317,0.9169292517160886,0.9534926482883542
Friedman 3,False,True,3,68.61401401632551,0.13254720487516583,0.8563425983272134,0.9312740642963928
Friedman 3,False,True,25,75.46819184258385,0.12754017188499273,0.866084142794299,0.9296236868261861
Friedman 3,False,True,100,62.82065190903639,0.12627739020739967,0.8697864392856998,0.9326883681469501
Friedman 3,True,False,3,1.432997637920451,4.2475298567187374e-05,0.9999999828913054,0.9999999910134296
Friedman 3,True,False,25,0.18900855908958886,0.0013190447848147962,0.9999841230575799,0.9999915000927169
Friedman 3,True,False,100,0.08018489815490332,0.007674910633828781,0.9994786964596153,0.999708438266826
Friedman 3,True,True,3,2.0956814715416576,0.0001305121009353312,0.9999998583656121,0.9999999353728223
Friedman 3,True,True,25,0.254431963673808,0.0029435895571049667,0.9999276463889621,0.999970919035301
Friedman 3,True,True,100,0.07400789662489492,0.009272505282437983,0.9993426060310204,0.9996447745065082
