Dataset,Noise,Depth,Constant Value Bounds,Pearson X,Spearman X,Pearson f(X),Spearman f(Xp),Spearman f(X),Pearson f(Xs)
Friedman 1,True,3,fixed,0.4803547429633476,0.5020288371504925,0.99660557493636,0.995055505550555,0.9952355235523551,0.9965913048092088
Friedman 1,True,3,unfixed,1.5494503588791533,9.999994784965168,0.9903298584894997,0.9887548754875487,0.9887548754875487,0.9903298359238994
Friedman 1,True,100,fixed,1997.6653345213097,6.180381694868442,1.0,0.9999999999999999,0.9999999999999999,0.9999993747724653
Friedman 1,True,100,unfixed,9.146249692242298,9.999994784965168,1.0,0.9999999999999999,0.9999999999999999,1.0
Friedman 2,True,3,fixed,0.08765194269572459,9.999994784965168,0.9936828277158904,0.9833303330333032,0.9484308430843084,0.9747620719559992
Friedman 2,True,3,unfixed,0.5576364935064101,9.999994784965168,0.9902370473707793,0.988082808280828,0.9482028202820281,0.9747401330148754
Friedman 2,True,100,fixed,1.4290031535199683,9.999994784965168,0.9999888864958417,0.9998319831983197,0.9998319831983197,0.9999771780118407
Friedman 2,True,100,unfixed,0.6027110170636734,9.999994784965168,0.9999766658694349,0.9997959795979596,0.9997959795979596,0.999976664363941
Friedman 3,True,3,fixed,0.13220313002441783,0.08399413220415991,0.9341612982642907,0.9475067506750673,0.9515751575157515,0.9318313292670692
Friedman 3,True,3,unfixed,0.1084573727416216,9.999994784965168,0.9852598586802841,0.9897029702970296,0.9016381638163816,0.8862191778984312
Friedman 3,True,100,fixed,1.004752420474821,0.9017856725700774,0.9999663250763544,0.9999039903990398,0.9999519951995199,0.9999614245546881
Friedman 3,True,100,unfixed,1.0783943329614374,9.999994784965168,0.9998642717228379,0.9995799579957995,0.9995799579957995,0.9998642696638358
