Dataset,Noise,Norm,Depth,Constant Value Bounds,X,f(X),Residual Correlation,Prediction Correlation
Friedman 1,True,False,3,unfixed,2.7076147918526936e+00,27.70809295949842,0.9690396779479366,0.9927799938971449
Friedman 1,True,False,100,unfixed,0.23134704818156376,2.196657082840732,0.9990620342496115,0.9991406617317812
Friedman 1,True,True,3,unfixed,3.759250803430484,0.9566824980209906,0.9993520561560773,0.9997675683516501
Friedman 1,True,True,100,unfixed,0.12155530805286709,3.1868837151394054,0.9992049424227277,0.9991893511193642
Friedman 2,True,False,3,unfixed,39.01635704175366,4052940.714372588,0.6790500485992679,0.7982339944125989
Friedman 2,True,False,100,unfixed,36.83086780891968,3813797.5002986593,0.6992826313581587,0.8053016472698719
Friedman 2,True,True,3,unfixed,1.4515861204588416,0.0032857424632566383,0.9999999997839996,0.9999999998523033
Friedman 2,True,True,100,unfixed,0.0789502024142228,2769.854757132056,0.9998226498505995,0.9998836530688849
Friedman 3,True,False,3,unfixed,70.65875013044729,1.850700293880141,0.843078156122138,0.9266672233684663
Friedman 3,True,False,100,unfixed,60.604223111652175,1.63452835916867,0.867140669916792,0.9335324007993493
Friedman 3,True,True,3,unfixed,1.3814965034874853,1.4709929731563931e-07,0.9999999884408088,0.9999999945260578
Friedman 3,True,True,100,unfixed,0.07597811847984438,0.007688617228826264,0.9993927217163575,0.9997095471429964
