Dataset,Noise,Depth,Constant Value Bounds,Pearson X,Spearman X,Pearson f(X),Spearman f(Xp),Spearman f(X),Pearson f(Xs)
Friedman 1,True,3,fixed,0.3330824934501754,0.3401416741106396,0.9655260148207505,0.9127032703270327,0.9135073507350735,0.9653235225356307
Friedman 1,True,3,unfixed,0.3330824756055955,0.3401416741106396,0.9655260099669571,0.9127032703270327,0.9135073507350735,0.96532351655938
Friedman 1,True,100,fixed,0.1339346490192325,0.14843543767016223,0.9977257894911917,0.9494989498949894,0.9649564956495649,0.9973037966488705
Friedman 1,True,100,unfixed,0.1339346480937526,0.14843543767016223,0.9977257894681887,0.9494989498949894,0.9649564956495649,0.9973037965618509
Friedman 2,True,3,fixed,71.09286228146236,39.400863612130884,0.5859865006648868,0.6629102910291029,0.6690909090909091,0.5849894789732255
Friedman 2,True,3,unfixed,37890.882501164604,53631.23507522962,0.596987437362688,0.6726792679267927,0.6801800180018001,0.5949131512432188
Friedman 2,True,100,fixed,74.90421206180865,39.4061891522294,0.5899695652305982,0.6637143714371436,0.668082808280828,0.5887515515210261
Friedman 2,True,100,unfixed,763.9319736687405,381966.5065233225,0.5969305286417226,0.6564056405640564,0.6753195319531953,0.5883194220019511
Friedman 3,True,3,fixed,709.4372724484332,243.27663653714697,0.6714218058330245,0.7212241224122412,0.7275367536753674,0.6689734472583739
Friedman 3,True,3,unfixed,381970.00297200057,2439071.354276184,0.6835048371524276,0.7256165616561655,0.7407020702070206,0.6780459244068662
Friedman 3,True,100,fixed,680.9023110229595,1567.7152373621843,0.6774407580699585,0.7245964596459645,0.73002100210021,0.6752441653987094
Friedman 3,True,100,unfixed,2605981.0730626406,2327363.049453976,0.6944701095129544,0.7502190219021901,0.7515751575157514,0.6859441570857959
